Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Short,Middle,Long,Buy,Sell,Profits
BHARTIARTL,EQ,312.5,315.95,322.0,313.3,321.85,319.5,316.4,5513123,174435871055000.0,39291,528285,0.0958,319.5,319.5,319.5,,,0.0
BHARTIARTL,EQ,319.5,316.9,321.0,309.1,312.5,312.65,314.25,5604911,176134953460000.0,50316,875836,0.15630000000000002,317.2166666666667,318.77894736842103,319.28253968253966,312.65,,-31264.999999999996
BHARTIARTL,EQ,312.65,312.5,315.5,307.95,313.0,313.5,311.27,5615566,174794550210000.0,65348,1145235,0.2039,315.9777777777778,318.2232686980609,319.09896699420506,,,0.0
BHARTIARTL,EQ,313.5,312.45,324.7,312.45,322.0,322.45,320.11,10239262,327768150260000.0,127906,2745517,0.2681,318.1351851851852,318.6681877824755,319.20534899438906,,,0.0
BHARTIARTL,EQ,322.45,324.4,327.9,322.1,324.75,324.95,324.8,4966909,161326664800000.0,57205,1367752,0.2754,320.40679012345686,319.32943117379386,319.3877188675831,,324.95,32495.0
BHARTIARTL,EQ,324.95,323.75,331.75,323.25,328.0,329.25,328.66,6484522,213121069300000.0,67314,1691938,0.2609,323.35452674897124,320.3737015765524,319.7008071575011,329.25,,-32925.0
BHARTIARTL,EQ,329.25,333.2,337.9,327.3,333.2,334.5,332.55,7226454,240315181880000.03,75786,1584699,0.2193,327.0696844993142,321.8606803579679,320.1706228032947,,,0.0
BHARTIARTL,EQ,334.5,336.55,338.65,332.4,337.0,337.3,335.31,5180570,173708935960000.0,75550,2064352,0.3985,330.4797896662095,323.48587189923444,320.714412555571,,,0.0
BHARTIARTL,EQ,337.3,337.15,337.3,329.0,333.8,335.1,333.13,5337767,177815743470000.0,42969,1004830,0.1882,332.019859777473,324.70841169931504,321.17109787126714,,,0.0
BHARTIARTL,EQ,335.1,334.1,334.8,328.15,330.0,331.6,330.74,3311854,109536134184999.98,48796,949040,0.2866,331.87990651831535,325.43384204675556,321.50217412932216,,,0.0
BHARTIARTL,EQ,331.6,330.0,339.35,326.5,338.0,337.75,332.71,5143387,171124477880000.0,47529,1010690,0.19649999999999998,333.8366043455436,326.7302797260445,322.0179781252167,,,0.0
